uid,average audio inference
u00,0.8344407148219417
u01,0.8072553308782656
u02,0.6543004114721277
u03,0.2004384285524688
u04,0.9561295070563282
u05,0.6558018185720806
u07,0.6485833163101183
u08,0.7074957610317317
u09,0.718957420592982
u10,0.6298976758808648
u12,0.6122462719636488
u13,0.5097986469656318
u14,0.916176616650634
u15,0.700185309186041
u16,0.5210667940510139
u17,0.5275206408955998
u18,0.5014661059975982
u19,0.529732477478246
u20,0.4819545297047896
u22,0.5880163833086738
u23,0.5255687782204665
u24,0.7150197619320997
u25,0.7808098671700174
u27,0.5619780610417203
u30,0.9225299334509394
u31,0.6173124678055649
u32,0.7723686128399114
u33,0.7085211410900268
u34,0.6620893375459146
u35,0.46402436237259864
u36,0.5184383838157617
u39,0.18408837059614183
u41,0.6129066500866281
u42,0.4788985202122158
u43,0.6409180674701661
u44,0.4066769001982629
u45,0.6529972352008974
u46,0.8462884617576258
u47,0.5497661761118231
u49,0.6186047011227438
u50,0.31846867800409495
u51,0.5509423123681051
u52,0.40606228402806493
u53,0.5276821951128401
u54,0.5700563498198702
u56,0.6366401434186031
u57,0.8894972662749254
u58,0.6880960052798757
u59,0.8752856987316748
